Id,Start,Name,Impact,Currency
b6039381-9d79-4a67-b85a-a3e0b2f5407e,08/01/2025 12:30:00,Average Hourly Earnings (MoM),HIGH,USD
ccd49402-12e4-4563-9a0c-15dc0ab1547c,08/01/2025 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
e1500448-3184-45cc-8949-04c0c6a8e1b1,08/01/2025 12:30:00,Nonfarm Payrolls,HIGH,USD
8927f9bb-68b5-4353-a30a-e0a06fab90a2,08/01/2025 14:00:00,ISM Manufacturing PMI,HIGH,USD
084beac7-d105-4077-a64d-c4fa3f6d404a,08/05/2025 14:00:00,ISM Services PMI,HIGH,USD
d6572afd-59db-4ff4-82af-8422533cd8ac,08/12/2025 12:30:00,Consumer Price Index (MoM),HIGH,USD
301cb172-0c41-45d2-aae6-45974fb5166e,08/12/2025 12:30:00,Consumer Price Index (YoY),HIGH,USD
916aa4f6-6f62-456e-a415-b0d1f2992530,08/12/2025 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
b5d3f951-ce19-4c3a-bb57-ab341c1684d4,08/12/2025 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
94f8183a-0460-41eb-8cd9-f20a15667092,08/14/2025 12:30:00,Producer Price Index ex Food & Energy (YoY),HIGH,USD
15b2e980-1c90-45d0-8511-e574bfb7bcb2,08/15/2025 12:30:00,Retail Sales (MoM),HIGH,USD
0f26274f-013a-42fb-96a5-50169ce4f680,08/15/2025 12:30:00,Retail Sales Control Group,HIGH,USD
190d792b-10e3-4b6d-95a4-a46f1c5141ba,08/15/2025 14:00:00,Michigan Consumer Sentiment Index,HIGH,USD
8069c883-0af5-4c91-9155-9d708f8a1388,08/15/2025 19:30:00,Trump - Putin Meeting,HIGH,USD
97b43544-14ac-4642-aa76-1b4afbabf711,08/20/2025 18:00:00,FOMC Minutes,HIGH,USD
49eb3f04-51d7-4fa0-90f4-d136e3501049,08/21/2025 00:00:00,Jackson Hole Symposium,HIGH,USD
f2b82b49-fbaf-4091-a800-e911fad5999d,08/21/2025 13:45:00,S&P Global Manufacturing PMI,HIGH,USD
412d4016-2503-457b-8f44-4da11af3e3cc,08/21/2025 13:45:00,S&P Global Services PMI,HIGH,USD
ec01f524-7435-47c9-a535-b55f2d98efad,08/22/2025 00:00:00,Jackson Hole Symposium,HIGH,USD
b35b11bb-93dd-43c7-a055-9da71164cbc0,08/22/2025 14:00:00,Fed's Chair Powell speech,HIGH,USD
ff61bfef-c474-4e04-876c-54c7ddfd4ac8,08/23/2025 00:00:00,Jackson Hole Symposium,HIGH,USD
dc7dce08-d168-4b19-aabb-6eede923ddb0,08/28/2025 12:30:00,Gross Domestic Product Annualized,HIGH,USD
c345375f-d11e-4cad-a00e-b570c50a648f,08/29/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
c51d4b18-ca34-4444-8d5f-054a9a5ca36d,08/29/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
065edda3-acf6-4116-bd64-edd3f5e1b9a1,09/02/2025 14:00:00,ISM Manufacturing PMI,HIGH,USD
b6a98c5f-8e88-4255-a290-0b156d9511f7,09/02/2025 18:00:00,President Trump speech,HIGH,USD
95fb6a14-de35-4739-b3d9-154801b24a13,09/04/2025 12:15:00,ADP Employment Change,HIGH,USD
90cda190-ed8a-4538-bdd0-3e3c075929a4,09/04/2025 14:00:00,ISM Services PMI,HIGH,USD
c2d08b4e-b4bd-4343-b9f4-7afc777e8f20,09/05/2025 12:30:00,Average Hourly Earnings (MoM),HIGH,USD
e0905c18-3bc4-4db1-b589-4501f84e76c7,09/05/2025 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
eb049629-f7b2-4d7b-87a2-f06e75cd6af4,09/05/2025 12:30:00,Nonfarm Payrolls,HIGH,USD
